SITECODE,SDATE,FIELDNAME,VALUE,Year,Month
T01,12-Aug-98,POTASSIUM,3.36,1998,8
T01,12-Aug-98,SO4S,1.6,1998,8
T01,12-Aug-98,SODIUM,4.42,1998,8
T01,12-Aug-98,TOTALN,1.09,1998,8
T01,02-Sep-98,ALUMINIUM,0.17,1998,9
T01,02-Sep-98,CALCIUM,4.79,1998,9
T01,02-Sep-98,CHLORIDE,11.7,1998,9
T01,02-Sep-98,CONDY,82,1998,9
T01,02-Sep-98,DOC,7.9,1998,9
T01,02-Sep-98,IRON,0.041,1998,9
T01,02-Sep-98,MAGNESIUM,2.16,1998,9
T01,02-Sep-98,NH4N,0.693,1998,9
T01,02-Sep-98,NO3N,0.62,1998,9
T01,02-Sep-98,PH,4,1998,9
T01,02-Sep-98,PO4P,0.092,1998,9
T01,02-Sep-98,POTASSIUM,3.4,1998,9
T01,02-Sep-98,SO4S,1.9,1998,9
T01,02-Sep-98,SODIUM,4.22,1998,9
T01,02-Sep-98,TOTALN,0.87,1998,9
T01,09-Sep-98,ALUMINIUM,0.259,1998,9
T01,09-Sep-98,CALCIUM,5.31,1998,9
T01,09-Sep-98,CHLORIDE,12.5,1998,9
T01,09-Sep-98,CONDY,92,1998,9
T01,09-Sep-98,DOC,7.1,1998,9
T01,09-Sep-98,IRON,0.123,1998,9
T01,09-Sep-98,MAGNESIUM,2.49,1998,9
T01,09-Sep-98,NH4N,0.736,1998,9
T01,09-Sep-98,NO3N,0.61,1998,9
T01,09-Sep-98,PH,4,1998,9
T01,09-Sep-98,PO4P,0.096,1998,9
T01,09-Sep-98,POTASSIUM,3.76,1998,9
T01,09-Sep-98,SO4S,1.5,1998,9
T01,09-Sep-98,SODIUM,4.61,1998,9
T01,09-Sep-98,TOTALN,0.95,1998,9
T01,23-Sep-98,ALUMINIUM,0.231,1998,9
T01,23-Sep-98,CALCIUM,5.73,1998,9
T01,23-Sep-98,CHLORIDE,10.4,1998,9
T01,23-Sep-98,CONDY,80,1998,9
T01,23-Sep-98,DOC,5.8,1998,9
T01,23-Sep-98,IRON,0.14,1998,9
T01,23-Sep-98,MAGNESIUM,2.69,1998,9
T01,23-Sep-98,NH4N,0.736,1998,9
T01,23-Sep-98,NO3N,0.73,1998,9
T01,23-Sep-98,PH,3.9,1998,9
T01,23-Sep-98,PO4P,0.121,1998,9
T01,23-Sep-98,POTASSIUM,3.99,1998,9
T01,23-Sep-98,SO4S,1.7,1998,9
T01,23-Sep-98,SODIUM,5.2,1998,9
T01,23-Sep-98,TOTALN,0.98,1998,9
T01,07-Oct-98,ALUMINIUM,0.219,1998,10
T01,07-Oct-98,CALCIUM,5.59,1998,10
T01,07-Oct-98,CHLORIDE,11.2,1998,10
T01,07-Oct-98,CONDY,84,1998,10
T01,07-Oct-98,DOC,6.2,1998,10
T01,07-Oct-98,IRON,0.154,1998,10
T01,07-Oct-98,MAGNESIUM,2.59,1998,10
T01,07-Oct-98,NH4N,0.684,1998,10
T01,07-Oct-98,NO3N,0.75,1998,10
T01,07-Oct-98,PH,4,1998,10
T01,07-Oct-98,PO4P,0.095,1998,10
T01,07-Oct-98,POTASSIUM,3.88,1998,10
T01,07-Oct-98,SO4S,1.6,1998,10
T01,07-Oct-98,SODIUM,4.94,1998,10
T01,07-Oct-98,TOTALN,0.98,1998,10
T01,22-Oct-98,ALUMINIUM,0.196,1998,10
T01,22-Oct-98,CALCIUM,5.39,1998,10
T01,22-Oct-98,CHLORIDE,11.2,1998,10
T01,22-Oct-98,CONDY,81,1998,10
T01,22-Oct-98,DOC,6.8,1998,10
T01,22-Oct-98,IRON,0.132,1998,10
T01,22-Oct-98,MAGNESIUM,2.49,1998,10
T01,22-Oct-98,NH4N,0.675,1998,10
T01,22-Oct-98,NO3N,0.73,1998,10
T01,22-Oct-98,PH,4,1998,10
T01,22-Oct-98,PO4P,0.095,1998,10
